Id,Ref,Label,Barcode,Warehouse,AcquisitionDate
1,IT-PER-LAPTOP001,Dell Laptop XPS 13,40000000001,Main Office,2024/03
2,IT-PER-WIRELESSHDEXT,Wireless HD Extender,40000000002,Main Office,2024/02
3,IT-PER-MOUSE001,Logitech MX Master 3,40000000003,Secondary Office,2023/11
4,IT-NET-SWITCH001,Cisco Network Switch 48-port,40000000004,Server Room,2023/08
5,IT-PRINTER001,Epson TM-T88 Receipt Printer,40000000005,Printing Station,2022/06
6,IT-TABLET001,Apple iPad Pro 12.9,40000000006,Main Office,2024/01
7,RSRC-INFO-SHINNIHONGGOINTGRAMMAR,Grammar Reference Guide,40000000007,Library,2022/09
8,RSRC-INFO-NIHONGGODICT,Nihongo Dictionary For Practical Use,40000000008,Library,2024/04
9,RSRC-TRNM-SHINNIHONGGOBEG1,Beginner Japanese Textbook,40000000009,Library,2021/05
10,RSRC-TRNM-SHINNIHONGGOADV1,Advanced Japanese Textbook,40000000010,Training Room,2025/01
11,FSYS-CABINET001,Metal Filing Cabinet 4-Drawer,40000000011,Main Office,2023/07
12,FSYS-DESK001,Executive Desk with Credenza,40000000012,Executive Wing,2021/12
13,IT-HW-HARDDRIVE001,External SSD 2TB USB-C,40000000013,IT Storage,2024/02
14,IT-HW-MEMORY001,RAM Module 32GB DDR4,40000000014,IT Storage,2023/03
15,SEMAPHORE,Semaphore Load Cell System,40000000015,Lab,2022/10
16,IT-PER-HEADSET001,Wireless Headset with Dock,40000000016,Main Office,2024/03
17,IT-NET-ROUTER001,WiFi 6 Router TP-Link,40000000017,Server Room,2023/06
18,RSRC-AUT-VOLUME001,Automotive Repair Manual,40000000018,Library,2022/04
19,IT-MON-DISPLAY001,4K Monitor 32-inch LG,40000000019,Secondary Office,2024/01
20,FSYS-CABINET002,Mobile Filing Cabinet with Lock,40000000020,Main Office,2025/02
